ID_CLIENTE	CLIENTE	MERCADO
1198	COMBUSTIBLES,TAFI	GNC
1285	FGF,TRAPANI	P
1112	EJESA	P
1131	ING.,LA,ESPERANZA,3	FD
1150	NORPLOM,-,55102085,2	P
1141	EMILIO,LUQUE	P
1151	P-TUCU,-,11101140,,2	P
1235	GNC,BERNO,IV	GNC
1238	GNC,BABNIK	GNC
1273	TRIGOTUC	P
1156	FIDEICOM,LAS,TALITAS	P
1159	ESTACION,EL,BOSQUE,S	GNC
1179	SERVISUR,-,64576	GNC
1193	EST.,INTEG.,DE,SERV	GNC
1202	ING.,LA,CORONA,2	FD
1204	CT,LA,BANDA,2	ID
1226	CERAMICA,DEL,NORTE,3	FD
1233	GNC,NIKON,II,	GNC
1258	GNC,VILLAGRA-TAFI	GNC
1140	EL,PIAVE,S.A	GNC
1163	ALVAREZ,GNC,2,-54713	GNC
1224	GNC,YALA	GNC
1236	GNC,LAVALLE	GNC
1251	CERAMICA,SALTE?A	P
1261	GNC,LOS,NIETOS,II	GNC
1279	CT,FRIAS,2	ID
1286	ARGENTILEMON	P
1316	GNC,PETRODAV	GNC
1124	SION-57823	GNC
1125	LA,CALDERA-58510	GNC
1175	EJESA,2,(Pied,Negra)	FD
1176	IMET,S.R.L.	P
1186	REFINOR,RIO,PIEDRA	P
1210	BUTANO,GNC	GNC
1219	GNC,RL,VILLA,FIAD	GNC
1228	ECOMOVIL,GNC	GNC
1252	SION-82013	GNC
1256	Cavirama,2	GNC
1265	CAMMESA,CT,SAN,MIG	IT
1282	GNC,GAS,ONE	GNC
1288	GNC,LLORENS,DIP,2	GNC
1291	GALVANIZADOS,P	P
1165	CERAMICA,ANDINA,2	FD
1166	PETRONORTE,-,68398	GNC
1192	PLAZOLETA,GNC	GNC
1220	GNC,AVILA,II	GNC
1234	SHERATON,HOTEL,TUC	P
1266	CAMMESA,CT,TUC	IT
1270	GNC,MARCELO,MEDRANO	GNC
1272	SION-36548	GNC
1302	SALTA,PETROL,P	P
1303	NEBAR,CONST,P	P
766	SCANIA	G
767	Senda,Verde	GNC
768	SOLO,GAS,-,17549	GNC
769	SERVIGAS,-,27359	GNC
770	SERVI,2000,GNC	GNC
771	LOS,NIETOS,-,30796	GNC
772	SERVISUR,-,13654	GNC
773	GNC,PETRO,GUEMES	GNC
775	ROBERTO,SAMAN-,21757	GNC
776	TECOTEX	G
778	TIBURCIO,SANZ-,49753	GNC
779	TIBURCIO,SANZ-,56040	GNC
781	TRAPANI	G
677	ING.,RIO,GRANDE	FD
678	ING.,TABACAL	FD
679	INVER,STRONG-,42542	GNC
680	JACARANDA,-,8735	GNC
681	JOSE,SHAMUN,-,1853	GNC
682	JOSE,MONTERO74104005	GNC
683	MINETTI	FD
684	JUSTIN,SANCHEZ,GNC	GNC
686	LA,CASCADA,-,24196	GNC
687	LA,CONSTRUCTORA33813	GNC
688	LA,PARADA,-,53082	GNC
689	LA,PICHONA	GNC
690	La,Red	GNC
691	ROTONDA,LIMAC,-,2145	GNC
692	LADRICER	G
693	LATSER,-,58114006	GNC
695	LITORAL,CITRUS	FD
696	LLORVANDI,-,15105930	GNC
697	ROMANO,LOBO,-,4166	GNC
699	MAGNETO,-,19246	GNC
700	MANANTIALES,-,30233	GNC
701	MANZUR,GNC,-,17478	GNC
702	MASSALIN	FD
703	MATI,SA,-,22920	GNC
704	MB,ENERGY-,22050	GNC
705	MB,ENERGY,-,32896	GNC
706	MECATECNICA,-,17854	GNC
707	MERPE,-,20313	GNC
709	MUKDISE,-,991	GNC
710	MILENIUM,-,19923	GNC
711	MINERA,SANTA,RITA	FD
712	MULTIGAS,-,58162	GNC
713	MULTILUB,-,27896	GNC
714	NANTUCKET,-,20853	GNC
715	NANTUCKET,-,55961	GNC
716	NATUER,GNC-,13007777	GNC
717	NORGAS,-,5399	GNC
719	OCTANO,-,28453	GNC
721	OPESA,-,62165	GNC
